"objectid","id1","fk_zaehler","abkuerzung","bezeichnung","von","bis","richtung_in","richtung_out","korrekturfaktor","status","has_geschwindigkeit","velo","fuss","geometry"
"113","4269","ZLT23070240","VZS_TANN","Tannenrauchstrasse","20231006000000","","Innenstadt","Wollishofen","1","aktuell","0","1","0","POINT (2682227 1244618)"
"114","4273","ZLT24091226","VZS_TUNN","Stadttunnel Nord","20250515000000","","Sihlquai u. Konradstrasse","Kasernenstrasse","1","aktuell","0","1","0","POINT (2682971 1248179)"
"115","1357","U15G3063865","FZS_ARBO","Arboretum","20160722000000","20230103000000","Stadtgrenze","Innenstadt","1.02","früher","0","0","1","POINT (2682973 1246328.9)"
"116","3277","Y2H16039396","VZS_LANS","Langstrasse (Unterführung Süd)","20180627000000","20210421000000","Limmatplatz","Helvetiaplatz","1","früher","0","1","0","POINT (2682296 1248311.1)"
"117","2979","ECO09113500","VZS_BINZ","Binzmühlestrasse","20190619000000","20221201000000","Oerlikon","Glaubtenstrasse","1.22","früher","0","1","0","POINT (2681857.8 1251990.6)"
"118","2985","U15G3063873","FZS_HARD","Hardeggsteg","20191004000000","20200430000000","Kloster-Fahr-Weg","Hardturmstrasse","0.86","früher","0","0","1","POINT (2680439.2 1249929.5)"
"119","3015","YSH20124740","FZS_CASS","Cassiopeiasteg","20210507000000","","Stadtgrenze","Bellevue","0.91","aktuell","0","0","1","POINT (2683022.5 1244140.1)"
"120","4253","Y2H22063445","VZS_SAUM","Saumackerstrasse","20220523000000","20221027170713","Uetliberg","Bahnhof Altstetten","1.27","früher","0","1","0","POINT (2679339.2 1249346.2)"
"121","4254","Y2H22063445","VZS_SIHL","Sihlpromenade","20221029000000","20221129000000","Innenstadt","Saalsporthalle","0.55","früher","0","1","0","POINT (2682375 1247054.9)"
"122","4270","Y2H18106792","VZS_MUEH","Mühlebachstrasse","20231221000000","","Bellevue","Riesbach","1.24","aktuell","0","1","0","POINT (2684006 1246565.9)"
"123","1997","Y2G13013264","VZS_LANN","Langstrasse (Unterführung Nord)","20170725000000","20170908000000","Helvetiaplatz","Limmatplatz","0.96","früher","0","1","0","POINT (2682278 1248324.9)"
"124","2957","YPH15108550","FZS_KATZ","Katzenbach","20171129000000","20191123000000","Affoltern","Seebach","0.18","früher","0","0","1","POINT (2681402 1253279.9)"
"125","2986","Y2H19090841","VZS_ANDR","Andreasstrasse","20191011000000","","Oerlikon","Wallisellen","1.14","aktuell","1","1","0","POINT (2684577.5 1251966.2)"
"126","2998","U15G3063872","FZS_WEIN","Weinbergfussweg","20200409000000","20230323000000","Polyterrasse","Hauptbahnhof","1.07","früher","0","0","1","POINT (2683511.8 1248166)"
